taxonId,scientificName,taxonRank,family,genus,specificEpithet,speciesCitation,infraspecificEpithet,infraspecificCitation,comments
1454,Clerodendrum trichotomum,species,Verbenaceae,Clerodendrum,trichotomum,,,,
1457,Eupatorium betonicaeforme,species,,Eupatorium,betonicaeforme,,,,
1478,"Petasites hybridus G., M. & S.",species,,Petasites,hybridus,"G., M. & S.",,,
1486,Rosa canina L.,species,,Rosa,canina,L.,,,
1486,Rosa spinoï¿½sissima L.,species,,Rosa,spinoï¿½sissima,L.,,,
1486,Rosa rugosa Thunb.,species,,Rosa,rugosa,Thunb.,,,
1486,Rosa,genus,,Rosa,,,,,
1497,Ononis repens L.,species,,Ononis,repens,L.,,,
1497,Ononis natrix L.,species,,Ononis,natrix,L.,,,
1497,Ononis rotundifolia L.,species,,Ononis,rotundifolia,L.,,,
1497,Ononis arvensis L.,species,,Ononis,arvensis,L.,,,
1497,Ononis spinosa L.,species,,Ononis,spinosa,L.,,,
1503,Ononis spinosa L.,species,,Ononis,spinosa,L.,,,
1505,Ononis rotundifolia L.,species,,Ononis,rotundifolia,L.,,,
1517,Glycyrrhiza,genus,,Glycyrrhiza,,,,,
1520,Glycyrrhiza uralensis Fisch.,species,,Glycyrrhiza,uralensis,Fisch.,,,
1549,Cajanus indicus,species,,Cajanus,indicus,,,,
1549,Dolichos lablab,species,,Dolichos,lablab,,,,
1555,Rhynchosia minima,species,,Rhynchosia,minima,,,,
1558,Rhyncosia cinerea Nash,species,Fabaceae,Rhyncosia,cinerea,Nash,,,
1564,Alysicarpus vaginalis,species,,Alysicarpus,vaginalis,,,,
1582,Oxalis,genus,,Oxalis,,,,,
1582,Desmodium lineatum DC.,species,Fabaceae,Desmodium,lineatum,DC.,,,
1582,Alysicarpus vaginalis,species,,Alysicarpus,vaginalis,,,,
1591,Lespedeza bicolorTurcz var. japonica Nakai,variety,,Lespedeza,bicolorTurcz,,japonica,Nakai,
1591,Lespedeza cuneata G. Don.,species,,Lespedeza,cuneata,G. Don.,,,
1613,Geum rivale L.,species,,Geum,rivale,L.,,,
1613,Geum urbanum L.,species,,Geum,urbanum,L.,,,
1613,Potentilla rupestris L.,species,,Potentilla,rupestris,L.,,,
1616,Vitis labrusca,species,,Vitis,labrusca,,,,
1618,Rubus nutkanus,species,,Rubus,nutkanus,,,,
1634,Scutellaria alpina L.,species,,Scutellaria,alpina,L.,,,
1636,Scutellaria alpina L.,species,,Scutellaria,alpina,L.,,,
1647,Scutellaria indica L.,species,,Scutellaria,indica,L.,,,
1647,Scutellaria discolor Colebr.,species,,Scutellaria,discolor,Colebr.,,,
1657,Teucrium scorodonium L.,species,,Teucrium,scorodonium,L.,,,
1657,Salvia officinale L.,species,,Salvia,officinale,L.,,,
1657,Salvia glutinosa L.,species,,Salvia,glutinosa,L.,,,
1661,Teucrium chamaedrys L.,species,,Teucrium,chamaedrys,L.,,,
1667,Leonurus cardiaca L.,species,,Leonurus,cardiaca,L.,,,
1674,Stachys alpina L.,species,,Stachys,alpina,L.,,,
1674,Stachys cassia (Boiss),species,,Stachys,cassia,(Boiss),,,
1674,Marrubium vulgare L.,species,,Mar+E820rubium+E820,vulgare,L.,,,
1679,Stachys recta L.,species,,Stachys,recta,L.,,,
1683,Teucrium botrys L.,species,,Teucrium,botrys,L.,,,
1690,Teucrium flavum L.,species,,Teucrium,flavum,L.,,,
1692,Teucrium scordium L. ssp. scordiï¿½oides (Schreber) Maire & Petitmengin.,subspecies,,Teucrium,scordium,L.,scordiï¿½oides,(Schreber) Maire & Petitmengin.,
1703,Stachys rigida,species,,Stachys,rigida,,,,
1703,Scutellarua bolanderi,species,,Scutellarua,bolanderi,,,,
1703,Hieracium albiflorum,species,,Hieracium,albiflorum,,,,
1707,Scuttelaria,genus,,Scuttelaria,,,,,
1716,Hieracium pilosella (L.),species,,Hieracium,pilosella,(L.),,,
1719,Hieracium umbellatum L.,species,,Hieracium,umbellatum,L.,,,
1719,Hieracium sabaudum L.,species,,Hieracium,sabaudum,L.,,,(=H. boreale Fries)
1719,Picris hieracioides L.,species,,Picris,hieracioides,L.,,,
1723,Hieracium pilosella (L.),species,,Hieracium,pilosella,(L.),,,
1723,Hieracium murorum L.,species,,Hieracium,murorum,L.,,,
1723,Hieracium lanatum Vill.,species,,Hieracium,lanatum,Vill.,,,
1723,Calluna vulgaris L.,species,,Calluna,vulgaris,L.,,,
1725,Hieracium pilosella (L.),species,,Hieracium,pilosella,(L.),,,
1725,Hieracium laeviï¿½gatum Willd.,species,,Hieracium,laeviï¿½gatum,Willd.,,,
1725,Hieracium umbellatum L.,species,,Hieracium,umbellatum,L.,,,
1725,Stachys alpina L.,species,,Stachys,alpina,L.,,,
1732,Hieracium scouleri,species,,Hieracium,scouleri,,,,
1741,Lagerstroemia,genus,,Lagerstroemia,,,,,
1743,Dillenia retusa,species,,Dillenia,retusa,,,,
1743,Dillenia indica,species,,Dillenia,indica,,,,
1747,Dunbaria villosa Makino.,species,,Dunbaria,villosa,Makino.,,,
1751,Cayratia japonica Gagn.,species,,Cayratia,japonica,Gagn.,,,
1756,Biophytum sensitivum,species,,Biophytum,sensitivum,,,,
1762,Caesalpina sappan L.,species,,Caesalpina,sappan,L.,,,
1762,Calycopteris floribunda,species,,Calycopteris,floribunda,,,,
1765,Vitis vinifera,species,,Vitis,vinifera,,,,
1775,Tinnea ethiopica,species,,Tinnea,ethiopica,,,,
1785,Cinchona succirubra Pav. ex Klotzsch.,species,Rubiaceae,Cinchona,succirubra,Pav. ex Klotzsch.,,,
1785,Synsepalum dulcificum (Schumach. & Thonn.) Daniell,species,Sapotaceae,Synsepalum,dulcificum,(Schumach. & Thonn.) Daniell,,,Moths were collected in great numbers around the plant - Ghana
1793,Isocoma veneta (HBK),species,,Isocoma,veneta,(HBK),,,
1793,Grindelia canyiorum,species,,Grindelia,canyiorum,,,,
1799,Crepis capillaris (L.),species,,Crepis,capillaris,(L.),,,
1799,Crepis tectorum L.,species,,Crepis,tectorum,L.,,,
1799,Crepis succifolia Tausch,species,,Crepis,succifolia,Tausch,,,
1799,Crepis conyzaefolia (L.) Della Torre,species,,Crepis,conyzaefolia,(L.) Della Torre,,,
1799,Crepis albida Vill.,species,,Crepis,albida,Vill.,,,
1799,Crepis succisaefolia (All.) Tausch,species,,Crepis,succisaefolia,(All.) Tausch,,,
1799,Crepis capillaris L. (Wallr.),species,,Crepis,capillaris,L. (Wallr.),,,
1799,Hieracium pilosella (L.),species,,Hieracium,pilosella,(L.),,,
1799,Hieracium amplexicaule L.,species,,Hieracium,amplexicaule,L.,,,
1799,Sonchus asper (L.) Hill.,species,,Sonchus,asper,(L.) Hill.,,,
1799,Sonchus arvensis L.,species,,Sonchus,arvensis,L.,,,
1799,Cichorium intybus L.,species,,Cichorium,intybus,L.,,,
1799,Picris hieraï¿½cioiï¿½des L.,species,,Picris,hieraï¿½cioiï¿½des,L.,,,
1799,Andryale pinnatifida Aiton.,species,,Andryale,pinnatifida,Aiton.,,,
1799,Andryale integrifolia L.,species,,Andryale,integrifolia,L.,,,
1799,Lactuca virosa L.,species,,Lactuca,virosa,L.,,,
1799,Lactuca sativa,species,,Lactuca,sativa,,,,
1813,Hieraciï¿½um echioides Lumnitzer,species,,Hieraciï¿½um,echioides,Lumnitzer,,,
1813,Hieraciï¿½um umbelliferum Nag. & Peter,species,,Hieraciï¿½um,umbelliferum,Nag. & Peter,,,
1813,Hieraciï¿½um dubium L.,species,,Hieraciï¿½um,dubium,L.,,,
1813,Hieraciï¿½um cymosum L.,species,,Hieraciï¿½um,cymosum,L.,,,
1813,Hieraciï¿½um piloselloides Vill.,species,,Hieraciï¿½um,piloselloides,Vill.,,,
1813,Hieraciï¿½um fallax Willd.,species,,Hieraciï¿½um,fallax,Willd.,,,
1813,Hieraciï¿½um pilosella (L.),species,,Hieraciï¿½um,pilosella,(L.),,,
1813,Hieraciï¿½um amplexicaule L.,species,,Hieraciï¿½um,amplexicaule,L.,,,
1817,Hieracium amplexicaula L.,species,,Hieracium,amplexicaula,L.,,,
1819,Andryale integrifolia L.,species,,Andryale,integrifolia,L.,,,(=sinuata L.)
1819,Hieracium lanatum Vill.,species,,Hieracium,lanatum,Vill.,,,
1826,Ipomoea batatas (L.) Poir.,species,,Ipomoea,batatas,(L.) Poir.,,,
1826,Vitis indica L.,species,,Vitis,indica,L.,,,
1826,Vernonia appendiculata Less.,species,,Vernonia,appendiculata,Less.,,,
1831,Oxalis corniculata L.,species,,Oxalis,corniculata,L.,,,
1831,Oxalis,genus,,Oxalis,,,,,
1836,Drosera rotundifolia L.,species,,Drosera,rotundifolia,L.,,,
1836,Drosera burmanni Vahl.,species,,Drosera,burmanni,Vahl.,,,
1836,Drosera spathulata Labill.,species,,Drosera,spathulata,Labill.,,,
1836,Drosera indica L.,species,,Drosera,indica,L.,,,
1842,Drosera capillaris,species,,Drosera,capillaris,,,,
1842,Drosera brevifolia Pursh,species,,Drosera,brevifolia,Pursh,,,
1842,Drosera intermedia Hayne,species,,Drosera,intermedia,Hayne,,,
1842,Drosera filiformis Rat. var. tracyi Diels.,variety,,Drosera,filiformis,Rat.,tracyi,Diels.,
1850,Chrysopsis scabrella Torr. & Gray,species,,Chrysopsis,scabrella,Torr. & Gray,,,
1850,Ceanothus papillosus,species,,Ceanothus,papillosus,,,,
1883,Cistus monspeliensis L.,species,,Cistus,monspeliensis,L.,,,
1883,Cistus albidus L.,species,,Cistus,albidus,L.,,,
1883,Cistus salviaefolius L.,species,,Cistus,salviaefolius,L.,,,
1883,Sanguisorba,genus,,Sanguisorba,,,,,(=Poterium)
1883,Dittrichia viscosa L.,species,,Dittrichia,viscosa,L.,,,
1883,Dittrichia graveolens (L.) Greut.,species,,Dittrichia,graveolens,(L.) Greut.,,,
1883,Helichrysum angustifolium DC.,species,,Helichrysum,angustifolium,DC.,,,
1883,Ononis natrix L.,species,,Ononis,natrix,L.,,,
1888,Siegesbeckia orientalis Linn.,species,,Siegesbeckia,orientalis,Linn.,,,
1890,Erioglossum,genus,,Erioglossum,,,,,
1890,Gynandropsis,genus,,Gynandropsis,,,,,
1890,Cajanus cajan,species,,Cajanus,cajan,,,,
1890,Cleome,genus,,Cleome,,,,,
1890,Acacia,genus,,Acacia,,,,,
1898,Acacia neovernicosa Isely (C. vernicosa Standl.),species,,Acacia,neovernicosa,Isely (C. vernicosa Standl.),,,
1898,Boerhavia diffusa L.,species,,Boerhavia,diffusa,L.,,,
1898,Boerhavia coccinea,species,,Boerhavia,coccinea,,,,
1898,Boerhavia erecta,species,,Boerhavia,erecta,,,,
1898,Boerhavia chinensis,species,,Boerhavia,chinensis,,,,
1898,Boerhavia repens L.,species,,Boerhavia,repens,L.,,,
1898,Commicarpus tuberosus (Lam.) Standl.,species,,Commicarpus,tuberosus,(Lam.) Standl.,,,
1898,Okenia hypogae Schtecht. & Cham.,species,,Okenia,hypogae,Schtecht. & Cham.,,,
1898,Amaranthus,genus,,Amaranthus,,,,,
1898,Mimosa tenuiflora Benth.,species,,Mimosa,tenuiflora,Benth.,,,
1898,Lagenaria siceraria,species,,Lagenaria,siceraria,,,,
1898,Scaevola frutescens,species,,Scaevola,frutescens,,,,
1911,Eupatorium betonicaeforme,species,,Eupatorium,betonicaeforme,,,,
1911,Barrosoa betonicaeformis,species,,Barrosoa,betonicaeformis,,,,
1911,Senecio oleosus,species,,Senecio,oleosus,,,,
1931,Phagnalon rupestre L.,species,,Phagnalon,rupestre,L.,,,
1931,Phagnalon saxatile L.,species,,Phagnalon,saxatile,L.,,,
1931,Phagnalon sordidum (L.) Reichenb.,species,,Phagnalon,sordidum,(L.) Reichenb.,,,
1931,Phagnalon telonense Jord. & Fourr.,species,,Phagnalon,telonense,Jord. & Fourr.,,,
1938,Helichrysum italicum Roth.,species,,Helichrysum,italicum,Roth.,,,
1938,Helichrysum stoechas (L.) Moench.,species,,Helichrysum,stoechas,(L.) Moench.,,,
1938,Helichrysum angustifolium (Lam.) Dc.,species,,Helichrysum,angustifolium,(Lam.) Dc.,,,
1938,Helichrysum serotinum Boiss.,species,,Helichrysum,serotinum,Boiss.,,,
1941,Helichrysum stoechas L.,species,,Helichrysum,stoechas,L.,,,
1960,Mycelis muralis L.,species,,Mycelis,muralis,L.,,,
1960,Prenanthes purpurea L.,species,,Prenanthes,purpurea,L.,,,
1960,Lapsana communis L.,species,,Lapsana,communis,L.,,,
1960,Lactua sativa L.,species,,Lactua,sativa,L.,,,
1960,Lactua viminea (L.) J. & C. Presl.,species,,Lactua,viminea,(L.) J. & C. Presl.,,,
1972,Ligularia tussilaginea Makino,species,,Ligularia,tussilaginea,Makino,,,
1972,Ligularia fischeri Turcz.,species,,Ligularia,fischeri,Turcz.,,,
1972,Petasitis japonicus Miq.,species,,Petasitis,japonicus,Miq.,,,
1979,Dichondra caroliniensis Michx.,species,,Dichondra,caroliniensis,Michx.,,,
2005,Helichrysum triplinerve,species,,Helichrysum,triplinerve,,,,
2007,Helichrysum cordifolium,species,,Helichrysum,cordifolium,,,,
2027,Inula britannica L.,species,,Inula,britannica,L.,,,
2027,Inula hirta L.,species,,Inula,hirta,L.,,,
2027,Inula salicina L.,species,,Inula,salicina,L.,,,
2027,Inula viscosa (L.) Aiton,species,,Inula,viscosa,(L.) Aiton,,,
2027,Inula montana L.,species,,Inula,montana,L.,,,
2027,Dittrichia viscosa Aï¿½t.,species,,Dittrichia,viscosa,Aï¿½t.,,,
2031,Ambrosia maritima L.,species,,Ambrosia,maritima,L.,,,
2033,Inula conyza C.D.,species,,Inula,conyza,C.D.,,,
2033,Inula bifrons L.,species,,Inula,bifrons,L.,,,
2033,Inula montana L.,species,,Inula,montana,L.,,,
2033,Inula hirta L.,species,,Inula,hirta,L.,,,
2033,Dittrichia viscosa (L.) W. Greuter,species,,Dittrichia,viscosa,(L.) W. Greuter,,,
2033,Buphthalmum salicifolium L.,species,,Buphthalmum,salicifolium,L.,,,
2038,Inula montana L.,species,,Inula,montana,L.,,,
2040,Aster linosyris L.,species,,Aster,linosyris,L.,,,
2040,Aster sedifolius L.,species,,Aster,sedifolius,L.,,,
2040,Solidago virgaurea L.,species,,Solidago,virgaurea,L.,,,
2044,Solidago virgaurea L.,species,,Solidago,virgaurea,L.,,,
2044,Senecio nemorensis L.,species,,Senecio,nemorensis,L.,,,
2044,Senecio fuchsii C.C. Gmelin,species,,Senecio,fuchsii,C.C. Gmelin,,,
2044,Senecio bicolor Willd.,species,,Senecio,bicolor,Willd.,,,
2044,Aster linosyris Bernh.,species,,Aster,linosyris,Bernh.,,,
2044,Achillea millefolium L.,species,,Achillea,millefolium,L.,,,
2044,Artemisia vulgaris L.,species,,Artemisia,vulgaris,L.,,,
2054,Phagnalon saxatile L.,species,,Phagnalon,saxatile,L.,,,
2054,Solidago virgaurea L.,species,,Solidago,virgaurea,L.,,,
2054,Aster linosyris Bernh.,species,,Aster,linosyris,Bernh.,,,
2054,Anaphalis margaritacea,species,,Anaphalis,margaritacea,,,,
2059,Gnaphalium sylvaticum L.,species,,Gnaphalium,sylvaticum,L.,,,
2059,Gnaphalium dioicum L.,species,,Gnaphalium,dioicum,L.,,,
2059,Artemisia absinthium L.,species,,Artemisia,absinthium,L.,,,
2059,Artemisia chamaemelifolia Vill.,species,,Artemisia,chamaemelifolia,Vill.,,,
2064,Hieracium umbellatum L.,species,,Hieracium,umbellatum,L.,,,
2064,Hieracium prenanthoides Villiers,species,,Hieracium,prenanthoides,Villiers,,,
2064,Hieracium amplexicaule L.,species,,Hieracium,amplexicaule,L.,,,
2064,Hieracium murorum L.,species,,Hieracium,murorum,L.,,,
2064,Hieracium lachenalii Gmel.,species,,Hieracium,lachenalii,Gmel.,,,
2064,Hieracium pilosella L.,species,,Hieracium,pilosella,L.,,,
2064,Hieracium boreale Fries.,species,,Hieracium,boreale,Fries.,,,
2064,Hieracium sylvaticum L.,species,,Hieracium,sylvaticum,L.,,,
2069,Solidago virgaurea L.,species,,Solidago,virgaurea,L.,,,
2069,Aster bellidiastrum Scop.,species,,Aster,bellidiastrum,Scop.,,,
2069,Bellis perennis L.,species,,Bellis,perennis,L.,,,
2073,Artemisia vulgaris L.,species,,Artemisia,vulgaris,L.,,,
2073,Artemisia maritima L.,species,,Artemisia,maritima,L.,,,
2073,Artemisia campesï¿½tris L.,species,,Artemisia,campesï¿½tris,L.,,,
2073,Artemisia princeps,species,,Artemisia,princeps,,,,
2073,Leucanthemum vulgare Lam.,species,,Leucanthemum,vulgare,Lam.,,,
2073,Tanacetum,genus,,Tanacetum,,,,,
2073,Solanum melongena,species,,Solanum,melongena,,,,
2119,Artemisia vulgaris ssp. vulgatissima Bess.,subspecies,,Artemisia,vulgaris,,vulgatissima,Bess.,
2121,Aster ageratoides Turc.,species,,Aster,ageratoides,Turc.,,,
2121,Aster yomena Makino.,species,,Aster,yomena,Makino.,,,
2133,Aster yomena Makino.,species,,Aster,yomena,Makino.,,,
2141,Wulffia baccata,species,,Wulffia,baccata,,,,
2143,Ageratina riparia (Regel) K.SR.,species,,Ageratina,riparia,(Regel) K.SR.,,,
2174,Espeletia spp,species,,Espeletia,spp,,,,
2184,Ipomoea setifera,species,,Ipomoea,setifera,,,,
2184,Ipomoea tiliacea,species,,Ipomoea,tiliacea,,,,
2184,Merremia umbellata,species,,Merremia,umbellata,,,,
2194,Parthenium hysterophorus L.,species,,Parthenium,hysterophorus,L.,,,
2212,Eupatorium purpureum,species,,Eupatorium,purpureum,,,,
2212,Solidago missouriensis,species,,Solidago,missouriensis,,,,
2212,Solidago altissima,species,,Solidago,altissima,,,,
2239,Scaleï¿½sia affinis,species,Asteraceae,Scaleï¿½sia,affinis,,,,
2317,Baccharis halimifolia L.,species,,Baccharis,halimifolia,L.,,,
2317,Baccharis salicina,species,,Baccharis,salicina,,,,
2317,Baccharis neglecta,species,,Baccharis,neglecta,,,,
2317,Baccharis angustifolia,species,,Baccharis,angustifolia,,,,
2324,Baccharides pilularis D.C.,species,,Baccharides,pilularis,D.C.,,,
2327,Ambrosia artemisiifolia L.,species,Asteraceae,Ambrosia,artemisiifolia,L.,,,
2331,Vernonia noveboracensis (L.) Michx.,species,,Vernonia,noveboracensis,(L.) Michx.,,,
2331,Vernonia missurica Raf.,species,,Vernonia,missurica,Raf.,,,
2331,Vernonia gigantea (Walt.) Trel. ex. Branner & Coville.,species,,Vernonia,gigantea,(Walt.) Trel. ex. Branner & Coville.,,,
2331,Vernonia angustiï¿½folia Michx.,species,,Vernonia,angustiï¿½folia,Michx.,,,
2331,Vernonia blodgettii Small,species,,Vernonia,blodgettii,Small,,,
2331,Vernonia cinerea (L.) Less.,species,,Vernonia,cinerea,(L.) Less.,,,
2343,Solidago canadensis L.,species,,Solidago,canadensis,L.,,,
2343,Solidago fistulosa Mill.,species,,Solidago,fistulosa,Mill.,,,
2343,Solidago gigantea Ait.,species,,Solidago,gigantea,Ait.,,,
2343,Solidago leavenworï¿½thii,species,,Solidago,leavenworï¿½thii,,,,(= gigantea)
2343,Baccharis neglecta Britton,species,,Baccharis,neglecta,Britton,,,
2347,Solidago,genus,,Solidago,,,,,
2347,Eupatorium perfoliatum L.,species,,Eupatorium,perfoliatum,L.,,,
2347,Aster paniculatus,species,,Aster,paniculatus,,,,
2353,Baccharis pilularis,species,,Baccharis,pilularis,,,,
2369,Solidago canadensis L.,species,,Solidago,canadensis,L.,,,
2384,Anaphalis margaritacea,species,,Anaphalis,margaritacea,,,,
2384,Gnaphalium,genus,,Gnaphalium,,,,,
2395,Eupatorium capillifolium (Lam.) Small,species,,Eupatorium,capillifolium,(Lam.) Small,,,
2493,Acanthospermum hispidum,species,,Acanthospermum,hispidum,,,,
2493,Tithonia diversifolia,species,,Tithonia,diversifolia,,,,
2497,Conyza lineariloba,species,,Conyza,lineariloba,,,,
2504,Inula salicina L.,species,,Inula,salicina,L.,,,
2504,Inula conyza L.,species,,Inula,conyza,L.,,,
2504,Inula montana L.,species,,Inula,montana,L.,,,
2504,Inula germanica L.,species,,Inula,germanica,L.,,,
2504,Inula hirta L.,species,,Inula,hirta,L.,,,
2504,Inula helenioides DC.,species,,Inula,helenioides,DC.,,,
2504,Pulicaria dysenterica Bernh.,species,,Pulicaria,dysenterica,Bernh.,,,
2504,Conyza squarrosa L.,species,,Conyza,squarrosa,L.,,,
2504,Buphthalmum salicifolium L.,species,,Buphthalmum,salicifolium,L.,,,
2510,Erigeron acer ssp. angulosus Gaudin,subspecies,,Erigeron,acer,,angulosus,Gaudin,
2510,Erigeron alpinus L.,species,,Erigeron,alpinus,L.,,,
2510,Erigeron acer ssp. politus Fries.,subspecies,,Erigeron,acer,,politus,Fries.,
2510,Erigeron glabratus Hoppe & Hornsch,species,,Erigeron,glabratus,Hoppe & Hornsch,,,
2510,Erigeron uniflorus L.,species,,Erigeron,uniflorus,L.,,,
2513,Inula montana L.,species,,Inula,montana,L.,,,
2513,Inula vaillantii Vill.,species,,Inula,vaillantii,Vill.,,,
2513,Inula helenium L.,species,,Inula,helenium,L.,,,
2513,Inula helenioides DC.,species,,Inula,helenioides,DC.,,,
2513,Inula oculus-christi L.,species,,Inula,oculus-christi,L.,,,
2513,Inula conyza DC.,species,,Inula,conyza,DC.,,,
2515,Inula helenium L.,species,,Inula,helenium,L.,,,
2515,Pulicaria odora Reichenb.,species,,Pulicaria,odora,Reichenb.,,,
2515,Pulicaria dysenterica (L.) Bernh.,species,,Pulicaria,dysenterica,(L.) Bernh.,,,
2517,Inula brittanica L.,species,,Inula,brittanica,L.,,,
2547,Solanum bonariensis Linneaus,species,Solanaceae,Solanum,bonariensis,Linneaus,,,(= pseudocapsicum??)
2575,Phacelia heterophylla,species,,Phacelia,heterophylla,,,,
2575,Phacelia ramosissima var. austroliferalis Munz.,variety,,Phacelia,ramosissima,,austroliferalis,Munz.,
2586,Eupatorium purpurascens Sch.Bip.,species,,Eupatorium,purpurascens,Sch.Bip.,,,
2586,Eupatorium purpureum,species,,Eupatorium,purpureum,,,,
2586,Epilobium,genus,,Epilobium,,,,,
2588,Balsamorrhiza sagittata,species,,Balsamorrhiza,sagittata,,,,
2607,Convolvulus arvensis L.,species,,Convolvulus,arvensis,L.,,,
2607,Convolvulus microphyllus,species,,Convolvulus,microphyllus,,,,
2607,Convolvulus cantabrica L.,species,,Convolvulus,cantabrica,L.,,,
2607,Convolvulus althaeoides L.,species,,Convolvulus,althaeoides,L.,,,
2607,Convolvulus floridus L.,species,,Convolvulus,floridus,L.,,,
2607,Convolvulus subacaulis,species,,Convolvulus,subacaulis,,,,
2607,Calystegia soldanella (L.) R. Br.,species,,Calystegia,soldanella,(L.) R. Br.,,,
2607,Calystegia sepium (L.) R. Br.,species,,Calystegia,sepium,(L.) R. Br.,,,
2607,Calystegia spithamaea (L.) R.Br.,species,,Calystegia,spithamaea,(L.) R.Br.,,,
2607,Chenopodium,genus,,Chenopodium,,,,,
2607,Atriplex,genus,,Atriplex,,,,,
2607,Ipomoea purpurea (L.) Roth.,species,,Ipomoea,purpurea,(L.) Roth.,,,
2607,Ipomoea batatas L.,species,,Ipomoea,batatas,L.,,,
2607,Ipomoea hispida Parodi,species,,Ipomoea,hispida,Parodi,,,
2607,Hyoscyamus niger L.,species,,Hyoscyamus,niger,L.,,,
2607,Datura stramonium L,species,,Datura,stramonium,L,,,
2619,Calystegia sepium (L.) R. Br.,species,,Calystegia,sepium,(L.) R. Br.,,,
2619,Calystegia sodanella (L.) R. Br.,species,,Calystegia,sodanella,(L.) R. Br.,,,
2619,Calystegia japonica Choisy,species,,Calystegia,japonica,Choisy,,,
2619,Ipomoea batatas L.,species,,Ipomoea,batatas,L.,,,
2635,Eupatorium cannabinum L.,species,,Eupatorium,cannabinum,L.,,,
2643,Carphephorus paniculatus (J.F. Gmel.) Herb.,species,,Carphephorus,paniculatus,(J.F. Gmel.) Herb.,,,
2643,Conoclinium coelestinum (L.) DC.,species,,Conoclinium,coelestinum,(L.) DC.,,,
2643,Erechtites valerianaefolia,species,,Erechtites,valerianaefolia,,,,
2643,Trichogonia appariciot,species,,Trichogonia,appariciot,,,,
2643,Trichogonia hirtiflora,species,,Trichogonia,hirtiflora,,,,
2643,Trichogonia villosa,species,,Trichogonia,villosa,,,,
2643,Trichogonia gardneri,species,,Trichogonia,gardneri,,,,
2643,Trichogonia macrolepis,species,,Trichogonia,macrolepis,,,,
2643,Mikania hoennei,species,,Mikania,hoennei,,,,
2643,Pentacalia desiderabilis,species,,Pentacalia,desiderabilis,,,,
2643,Campuloclinium macrocephalum,species,,Campuloclinium,macrocephalum,,,,
2643,Chromolena squarrulosa,species,,Chromolena,squarrulosa,,,,
2643,Symphyopappus casarettoi,species,,Symphyopappus,casarettoi,,,,
2643,Eupatorium laxum,species,,Eupatorium,laxum,,,,
2643,Eupatorium odoratum,species,,Eupatorium,odoratum,,,,
2643,Eupatorium iresinoides,species,,Eupatorium,iresinoides,,,,
2643,Eupatorium clematideum,species,,Eupatorium,clematideum,,,,
2643,Pluchea purpurascens,species,,Pluchea,purpurascens,,,,(= odorata)
2643,Pluchea carolinensis,species,,Pluchea,carolinensis,,,,
2643,Erechtites valarianaefolia,species,,Erechtites,valarianaefolia,,,,
2643,Verbesina,genus,,Verbesina,,,,,
2643,Grazielia intermedia,species,,Grazielia,intermedia,,,,
2643,Barrosoa betonicaeformis,species,,Barrosoa,betonicaeformis,,,,
2643,Vernonia cinerea,species,,Vernonia,cinerea,,,,
2643,Ageratum conyzoides,species,,Ageratum,conyzoides,,,,
2653,Verbesina,genus,,Verbesina,,,,,
2653,Senecio brasiliensis,species,,Senecio,brasiliensis,,,,
2653,Vernonanthura mariana,species,,Vernonanthura,mariana,,,,
2657,Senecio brasiliensis,species,,Senecio,brasiliensis,,,,
2665,Chromolaena odorata L.,species,,Chromolaena,odorata,L.,,,
2677,Ipomoea indica (Burm.f) Merr.,species,,Ipomoea,indica,(Burm.f) Merr.,,,
2682,Ambrosia artemisiifolia L.,species,,Ambrosia,artemisiifolia,L.,,,(= peruviana)
2682,Pluchea rosea (Godfrey),species,,Pluchea,rosea,(Godfrey),,,
2682,Melanthera nivea (L.) Small,species,,Melanthera,nivea,(L.) Small,,,(= M. deltoidea Michx.) (= aspera)
2682,Helianthus annus L.,species,,Helianthus,annus,L.,,,
2682,Helianthus tuberosa L.,species,,Helianthus,tuberosa,L.,,,
2682,Ambrosia acanthicarpa Hooker,species,,Ambrosia,acanthicarpa,Hooker,,,
2682,Ambrosia chamissonis (Lessing) Greene,species,,Ambrosia,chamissonis,(Lessing) Greene,,,
2682,Ambrosia confertiflora Decandolle,species,,Ambrosia,confertiflora,Decandolle,,,
2682,Ambrosia dumosa (A. Gray) Payne,species,,Ambrosia,dumosa,(A. Gray) Payne,,,
2682,Ambrosia eriocentra (A. Gray) Payne,species,,Ambrosia,eriocentra,(A. Gray) Payne,,,
2682,Ambrosia cunanensis HBK.,species,,Ambrosia,cunanensis,HBK.,,,(=psilostachya DC.)
2682,Xanthium strumarium L.,species,,Xanthium,strumarium,L.,,,cocklebur
2682,Neurolaena lobata,species,,Neurolaena,lobata,,,,
2682,Cynara cardunculus var. scolymus L.,variety,,Cynara,cardunculus,,scolymus,L.,leaves
2682,Rudkekia,genus,,Rudkekia,,,,,
2689,Xanthium canadense Mill.,species,,Xanthium,canadense,Mill.,,,
2689,Aster novi-belgii (Wlk),species,,Aster,novi-belgii,(Wlk),,,
2702,Echinops ritro L.,species,,Echinops,ritro,L.,,,
2704,Staehelina dubia L.,species,,Staehelina,dubia,L.,,,
2706,Picnomon acarna (L.) Cass.,species,,Picnomon,acarna,(L.) Cass.,,,
2706,Ptilostemon casabonae Greuter.,species,,Ptilostemon,casabonae,Greuter.,,,
2708,Cirsium helenioides L.,species,,Cirsium,helenioides,L.,,,
